ID,FPS,"LoopType (0: Single, 1: Loop)",,,
Attack,12,0,,,
"				",,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,"FLIPX (0:Fale, 1:True)"
graphics/Warrior_Sheet-Effect.png,138,88,69,44,0
graphics/Warrior_Sheet-Effect.png,207,88,69,44,0
graphics/Warrior_Sheet-Effect.png,276,88,69,44,0
graphics/Warrior_Sheet-Effect.png,345,88,69,44,0
graphics/Warrior_Sheet-Effect.png,0,132,69,44,0
graphics/Warrior_Sheet-Effect.png,69,132,69,44,0
graphics/Warrior_Sheet-Effect.png,138,132,69,44,0
graphics/Warrior_Sheet-Effect.png,207,132,69,44,0
graphics/Warrior_Sheet-Effect.png,276,132,69,44,0
graphics/Warrior_Sheet-Effect.png,345,132,69,44,0
graphics/Warrior_Sheet-Effect.png,0,176,69,44,0
graphics/Warrior_Sheet-Effect.png,69,176,69,44,0
